movieTitle,englishName,rating,pttPopularity,pttGood,pttBad
狐仙麗莎煞煞煞,Liza,NA,3,1,0
被遺忘的新娘,A Bride for Rip Van Winkle,7.4,21,10,0
黑白,Mole Of Life,0,23,3,2
功夫熊貓3,Kung Fu Panda 3,7.2,20,4,2
狩獵者: 凜冬之戰,The Huntsman Winter!|s War,0,0,0,0
與森林共舞,The Jungle Book,7.6,37,15,2
摩天樓,High-Rise,5.7,25,6,2
美國隊長3,Captain America 3: Civil War,0,511,195,18
科洛弗10號地窖,10 Cloverfield Lane,7.3,32,20,0
飛躍奇蹟,Eddie the Eagle,7.4,56,31,0
換腦行動,Criminal,6.3,14,3,6
非死不可,Friend Request,5.4,29,11,4
反擊,Blackway,5.1,12,6,4
非法999,Triple 9,6.3,10,0,2
天眼行動,Eye in the Sky,7.3,13,8,0
暗色天堂,Heaven In the Dark,0,9,3,0
格雷的五十道黑影,Fifty Shades of Black,3.5,4,1,0
夢遊亞馬遜,Embrace of the Serpent,8,1,0,0
特工爺爺,The Bodyguard,6.1,14,1,8
吸特樂回來了！,Look Who's Back,7.1,7,2,0
流離者之歌,Dheepan,7.2,0,0,0
大犯罪家,The Clan,7,9,6,0
那些年狂熱戀情,My Golden Days,6.9,1,0,0
擊劍大師,The Fencer,7.3,5,5,0
性本愛,Love,0,5,3,0
尋秘街拍客,Finding Vivian Maier,7.7,6,1,0
捉妖記,Monster Hunt,6.2,1,0,0
計程人生,Taxi,6.9,12,4,0
路邊野餐,Kaili Blues,7.2,17,12,2
死期大公開,The Brand New Testament,7.2,22,11,0
居住正義,99 Homes,7.1,2,1,0
快樂告別的方法,The Farewell Party,7.1,8,4,0
乳白色的裸女,Foujita,6.2,4,2,0
殘穢: 被詛咒的房間,The Inerasable,6,0,0,0
為什麼貓都叫不來,Neko Nanka Yondemo Kona,0,4,2,0
愛重逢以後,Valley of Love,5.7,6,2,0
蜂狂,Stung,5,1,0,0
失控謊言,White Lies,NA,74,19,2
情慾莊園,Eva Braun,3.4,0,0,0
惡鄰纏身2,Neighbors 2: Sorority Rising,5.8,16,3,4
金錢怪獸,Money Monster,6.6,56,15,0
X戰警:天啟,X-Men: Apocalypse,7.2,32,18,0
魔境夢遊2,Alice Through the Looking Glass,6.3,0,0,0
幸福百分百,Mother's Day,5.6,4,1,0
禁愛世界,Equals,6.1,17,5,2
我媽的希臘婚禮,My Big Fat Greek Wedding 2,6.1,10,2,2
安娜華特,The Faith of Anna Waters,3.8,8,1,6
最後一堂課,The Final Lesson,6.5,5,3,0
帝國戰神,Baahubali: The Beginning,8.4,30,16,0
同級生,Doukyuusei,7.7,1,0,0
超狂亨利,Hardcore Henry,6.8,25,5,2
傻瓜向錢衝,Two Idiots,3.6,9,5,2
崩壞人生,Demolition,7,19,14,2
通靈診療室,Body,0,6,2,2
走音天后,Florence Foster Jenkins,7,46,18,2
火星異種,Terra Formars,4.9,18,3,4
魔宮魅影,Phantom of the Theatre,5.2,5,0,4
我愛妳,,NA,4,1,0
天才無限家,The Man Who Knew Infinity,7.2,37,26,2
愛,,NA,918,307,44
真愛有夠殺,Mr. Right,6.3,10,4,4
羊男的冰島冒險,Rams,7.4,3,2,0
瘋狂假面2,HK: Forbidden Super Hero The Abnormal Crisis,0,1,0,0
北京遇上西雅圖之不二情書,Book Of Love,0,19,7,0
麥田書香,Ever Been to the Moon,0,0,0,0
愛人怪物,Closet Monster,7.3,5,4,0
西西里的漫長等待,The Wait,4.7,2,1,0
帝國毀滅: 關鍵13分鐘,13 Minutes,7,0,0,0
魔物戀人,Spring,6.7,2,2,0
特務超級爸,Spy Time,6.1,0,0,0
忍者龜2: 破影而出,Teenage Mutant Ninja Turtles: Out of the Shadows,6,0,0,0
厲陰宅2,The Conjuring 2,7.5,137,58,4
假會徵信社,The Nice Guys,7.4,26,14,2
ID4星際終結者2,Independence Day 2: Resurgence,0,1,0,2
俺物語!!,My Love Story!!,7.8,4,0,0
魔獸:崛起,Warcraft,0,28,10,2
我就要你好好的,Me Before You,7.5,109,48,32
下女的誘惑,The Handmaiden,8.1,83,23,0
信長協奏曲,Nobunaga Concerto: The Movie,6.2,15,6,2
出神入化2,Now You See Me: The Second Act,0,81,10,30
梭哈人生,A Hologram for the King,6.1,13,1,2
萌學園:尋找磐古,The M Riders Finding Pangu,0,0,0,0
夢碎天堂,The Paradise Suite,7.3,7,3,0
憤怒鳥玩電影,Angry Birds,7.2,10,2,0
搖滾青春戀習曲,Sing Street,8,20,19,0
傷物語: <U+9244>血篇,Kizumonogatari: I Tekketsu-hen,0,0,0,0
深海逃脫,Pressure,5.7,1,0,0
師父,The Final Master,7.3,47,18,0
運河怪談,The Canal,5.9,1,1,0
世界之庭,Dare to Be Wild,6.5,3,1,0
遠方禁戀,From Afar,6.9,5,3,0
殺人一舉,The Act of Killing,8.2,2,1,0
春色蕩漾,Swung,4.4,2,1,0
沉默一瞬,The Look of Silence,8.3,2,1,0
水手服與機關槍,Sailor Suit and Machine Gun: Graduation,5,0,0,0
漢娜鄂蘭─思想的行動,Vita Activa: The Spirit of Hannah Arendt,7.6,1,0,0
泰山傳奇,The Legend of Tarzan,6.4,21,3,2
寒戰2,Cold War 2,NA,88,24,18
魔鬼剋星,Ghostbusters,7.8,105,32,6
星際爭霸戰3,Star Trek Beyond,7.2,7,2,0
神鬼認證5,Jason Bourne,6.7,21,6,2
寵物當家,The Secret Life of Pets,6.6,38,4,6
海底總動員2,Finding Dory,7.5,52,24,4
中央情爆員,Central Intelligence,6.4,13,2,2
冰原歷險記5,Ice Age: Collision Course,5.7,3,0,0
極樂宿舍,Happy Dorm,NA,44,5,24
